model,repeat,fold,fold_index,num_train,num_test,accuracy,macro_f1,weighted_f1,unweighted_recall,best_epoch
random_forest,10,2,47,230,58,0.689655,0.678116,0.684428,0.665992,
random_forest,10,3,48,230,58,0.655172,0.607801,0.625884,0.621457,
random_forest,10,4,49,231,57,0.789474,0.783004,0.786409,0.772099,
random_forest,10,5,50,231,57,0.736842,0.724019,0.728853,0.720479,
extra_trees,1,1,1,230,58,0.758621,0.742857,0.748768,0.737821,
extra_trees,1,2,2,230,58,0.655172,0.643865,0.650821,0.633603,
extra_trees,1,3,3,230,58,0.672414,0.660386,0.665634,0.652834,
extra_trees,1,4,4,231,57,0.77193,0.743787,0.757531,0.746795,
extra_trees,1,5,5,231,57,0.596491,0.573662,0.584432,0.581646,
extra_trees,2,1,6,230,58,0.793103,0.778518,0.785531,0.777885,
extra_trees,2,2,7,230,58,0.724138,0.694387,0.707193,0.698381,
extra_trees,2,3,8,230,58,0.758621,0.743551,0.748301,0.755061,
extra_trees,2,4,9,231,57,0.666667,0.651804,0.661268,0.646424,
extra_trees,2,5,10,231,57,0.684211,0.648533,0.664044,0.642628,
extra_trees,3,1,11,230,58,0.62069,0.58348,0.601903,0.577564,
extra_trees,3,2,12,230,58,0.810345,0.788736,0.795813,0.794534,
extra_trees,3,3,13,230,58,0.637931,0.604674,0.619708,0.602227,
extra_trees,3,4,14,231,57,0.77193,0.761563,0.762396,0.762146,
extra_trees,3,5,15,231,57,0.631579,0.610707,0.626375,0.60636,
extra_trees,4,1,16,230,58,0.724138,0.694628,0.711728,0.687821,
extra_trees,4,2,17,230,58,0.672414,0.649374,0.662135,0.646761,
extra_trees,4,3,18,230,58,0.637931,0.607511,0.621126,0.6083,
extra_trees,4,4,19,231,57,0.684211,0.628268,0.651071,0.650641,
extra_trees,4,5,20,231,57,0.614035,0.60119,0.608605,0.591599,
extra_trees,5,1,21,230,58,0.637931,0.581127,0.608998,0.595192,
extra_trees,5,2,22,230,58,0.655172,0.634813,0.642418,0.62753,
extra_trees,5,3,23,230,58,0.758621,0.730404,0.740302,0.730769,
extra_trees,5,4,24,231,57,0.701754,0.68058,0.686832,0.675945,
extra_trees,5,5,25,231,57,0.666667,0.652175,0.661497,0.643219,
extra_trees,6,1,26,230,58,0.637931,0.622594,0.632149,0.611859,
extra_trees,6,2,27,230,58,0.655172,0.624027,0.644353,0.633603,
extra_trees,6,3,28,230,58,0.741379,0.732534,0.736692,0.723684,
extra_trees,6,4,29,231,57,0.719298,0.698393,0.707097,0.685897,
extra_trees,6,5,30,231,57,0.631579,0.59058,0.608238,0.594214,
extra_trees,7,1,31,230,58,0.655172,0.609477,0.626775,0.610897,
extra_trees,7,2,32,230,58,0.637931,0.600922,0.609025,0.602227,
extra_trees,7,3,33,230,58,0.637931,0.606682,0.620383,0.6083,
extra_trees,7,4,34,231,57,0.77193,0.756681,0.767373,0.751265,
extra_trees,7,5,35,231,57,0.684211,0.678057,0.684912,0.6778,
extra_trees,8,1,36,230,58,0.637931,0.578078,0.603759,0.590064,
extra_trees,8,2,37,230,58,0.655172,0.647752,0.652916,0.639676,
extra_trees,8,3,38,230,58,0.724138,0.689123,0.707176,0.692308,
extra_trees,8,4,39,231,57,0.719298,0.696348,0.703167,0.6875,
extra_trees,8,5,40,231,57,0.736842,0.716745,0.723516,0.715671,
extra_trees,9,1,41,230,58,0.775862,0.763228,0.771055,0.74359,
extra_trees,9,2,42,230,58,0.741379,0.733728,0.735411,0.717611,
extra_trees,9,3,43,230,58,0.775862,0.760731,0.768642,0.756073,
extra_trees,9,4,44,231,57,0.666667,0.629482,0.645844,0.635881,
extra_trees,9,5,45,231,57,0.666667,0.640399,0.659412,0.637146,
extra_trees,10,1,46,230,58,0.637931,0.60347,0.619729,0.605128,
extra_trees,10,2,47,230,58,0.637931,0.616624,0.626398,0.614372,
extra_trees,10,3,48,230,58,0.689655,0.653157,0.670228,0.659919,
extra_trees,10,4,49,231,57,0.77193,0.759779,0.767223,0.752868,
extra_trees,10,5,50,231,57,0.736842,0.704838,0.712758,0.712804,
cnn_small,1,1,1,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,1,2,2,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,1,3,3,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,1,4,4,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,1,5,5,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,2,1,6,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,2,2,7,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,2,3,8,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,2,4,9,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,2,5,10,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,3,1,11,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,3,2,12,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,3,3,13,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,3,4,14,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,3,5,15,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,4,1,16,230,58,0.344828,0.128205,0.176835,0.25,1.0
cnn_small,4,2,17,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,4,3,18,230,58,0.327586,0.123377,0.161666,0.25,1.0
cnn_small,4,4,19,231,57,0.333333,0.125,0.166667,0.25,1.0
cnn_small,4,5,20,231,57,0.333333,0.125,0.166667,0.25,1.0
