class_label,recall,precision,auc
negative,0.9557522123893806,0.7346938775510204,0.8874141618868034
negative,0.9557522123893806,0.735249621785174,0.8874141618868034
negative,0.9557522123893806,0.7358062074186222,0.8874141618868034
negative,0.9547689282202556,0.7356060606060606,0.8874141618868034
negative,0.9547689282202556,0.7361637604245641,0.8874141618868034
negative,0.9547689282202556,0.7367223065250379,0.8874141618868034
negative,0.9547689282202556,0.7372817008352316,0.8874141618868034
negative,0.9547689282202556,0.7378419452887538,0.8874141618868034
negative,0.9547689282202556,0.7384030418250951,0.8874141618868034
negative,0.9547689282202556,0.73896499238965,0.8874141618868034
negative,0.9537856440511308,0.7387661843107388,0.8874141618868034
negative,0.9528023598820059,0.7385670731707317,0.8874141618868034
negative,0.951819075712881,0.738367658276125,0.8874141618868034
negative,0.951819075712881,0.7389312977099237,0.8874141618868034
negative,0.951819075712881,0.7394957983193278,0.8874141618868034
negative,0.951819075712881,0.7400611620795107,0.8874141618868034
negative,0.9508357915437562,0.7398622800306044,0.8874141618868034
negative,0.9508357915437562,0.7404287901990811,0.8874141618868034
negative,0.9508357915437562,0.7409961685823755,0.8874141618868034
negative,0.9508357915437562,0.7415644171779141,0.8874141618868034
negative,0.9508357915437562,0.7421335379892555,0.8874141618868034
negative,0.9498525073746312,0.7419354838709677,0.8874141618868034
negative,0.9498525073746312,0.7425057647963106,0.8874141618868034
negative,0.9488692232055064,0.7423076923076923,0.8874141618868034
negative,0.9488692232055064,0.7428791377983064,0.8874141618868034
negative,0.9488692232055064,0.7434514637904468,0.8874141618868034
negative,0.9488692232055064,0.7440246723207402,0.8874141618868034
negative,0.9488692232055064,0.7445987654320988,0.8874141618868034
negative,0.9478859390363815,0.7444015444015444,0.8874141618868034
negative,0.9478859390363815,0.7449768160741885,0.8874141618868034
negative,0.9478859390363815,0.745552977571539,0.8874141618868034
negative,0.9478859390363815,0.7461300309597523,0.8874141618868034
negative,0.9478859390363815,0.7467079783113865,0.8874141618868034
negative,0.9469026548672567,0.7465116279069768,0.8874141618868034
negative,0.9469026548672567,0.7470907680372382,0.8874141618868034
negative,0.9469026548672567,0.7476708074534162,0.8874141618868034
negative,0.9469026548672567,0.7482517482517482,0.8874141618868034
negative,0.9469026548672567,0.7488335925349923,0.8874141618868034
negative,0.9469026548672567,0.7494163424124514,0.8874141618868034
negative,0.9459193706981318,0.7492211838006231,0.8874141618868034
negative,0.9449360865290068,0.7490257209664848,0.8874141618868034
negative,0.943952802359882,0.748829953198128,0.8874141618868034
negative,0.9429695181907571,0.7486338797814208,0.8874141618868034
negative,0.9429695181907571,0.74921875,0.8874141618868034
negative,0.9419862340216323,0.7490226739640344,0.8874141618868034
negative,0.9410029498525073,0.7488262910798122,0.8874141618868034
negative,0.9400196656833825,0.7486296006264683,0.8874141618868034
negative,0.9390363815142576,0.7484326018808778,0.8874141618868034
negative,0.9390363815142576,0.7490196078431373,0.8874141618868034
negative,0.9390363815142576,0.749607535321821,0.8874141618868034
negative,0.9390363815142576,0.7501963864886095,0.8874141618868034
negative,0.9390363815142576,0.7507861635220126,0.8874141618868034
negative,0.9380530973451328,0.7505900865460268,0.8874141618868034
negative,0.9370698131760079,0.7503937007874015,0.8874141618868034
negative,0.9360865290068829,0.7501970055161544,0.8874141618868034
negative,0.9360865290068829,0.750788643533123,0.8874141618868034
negative,0.9351032448377581,0.7505919494869772,0.8874141618868034
negative,0.9351032448377581,0.7511848341232228,0.8874141618868034
negative,0.9341199606686332,0.7509881422924901,0.8874141618868034
negative,0.9341199606686332,0.7515822784810127,0.8874141618868034
negative,0.9331366764995084,0.7513855898653998,0.8874141618868034
negative,0.9331366764995084,0.7519809825673535,0.8874141618868034
negative,0.9331366764995084,0.7525773195876289,0.8874141618868034
negative,0.9321533923303835,0.7523809523809524,0.8874141618868034
negative,0.9321533923303835,0.7529785544082606,0.8874141618868034
negative,0.9311701081612586,0.7527821939586645,0.8874141618868034
negative,0.9311701081612586,0.7533810660302307,0.8874141618868034
